Request Date Time,API,Method,URL,Client Host,"Response Time
( in milliseconds )",Result,Fault Message
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,120,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://ACME Payments API.demo-broker.soa.com/ACME Payments API/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,126,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,161,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 21:23 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,796,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,144,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,120,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,120,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,119,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,120,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,119,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,205,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,120,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,127,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,125,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,120,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,134,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,125,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,123,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,125,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,135,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,124,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,121,Success,
04/16/2014 20:27 PM,ACME Payments API,getPayment,http://api.acmecorp.com/payments/,173.169.155.199,122,Success,
